@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute oschook-1 numeric
@attribute oschook-2 numeric
@attribute oschook-3 numeric
@attribute oschook-4 numeric
@attribute outputs-1 {0,1,2}

@data
429,'2023/12/10 03:37:50:239',5,259.785828,-1.118303,-5.990976,0,?
430,'2023/12/10 03:37:50:255',5,259.786652,-1.056555,-6.143111,0,?
431,'2023/12/10 03:37:54:951',6,253.262909,84.492737,-7.77105,0,?
432,'2023/12/10 03:37:54:999',6,252.092026,84.464127,-6.487535,0,?
433,'2023/12/10 03:37:55:047',6,251.065369,84.461784,-5.370948,0,?
434,'2023/12/10 03:37:55:157',6,249.921371,84.478149,-4.148555,0,?
435,'2023/12/10 03:37:55:173',6,249.000534,84.454849,-3.158851,0,?
436,'2023/12/10 03:37:55:252',6,248.526184,84.387535,-2.606469,0,?
437,'2023/12/10 03:37:55:362',6,248.629517,84.238945,-2.463044,0,?
438,'2023/12/10 03:37:55:362',6,248.041458,83.97538,-1.445327,0,?
439,'2023/12/10 03:37:55:410',6,247.393143,83.676498,-0.362325,0,?
440,'2023/12/10 03:37:55:473',6,247.838379,83.323982,-0.349643,0,?
441,'2023/12/10 03:37:55:567',6,248.309937,83.032623,-0.426889,0,?
442,'2023/12/10 03:37:55:599',6,248.219406,82.851097,0.049889,0,?
443,'2023/12/10 03:37:55:662',6,247.883362,82.753914,0.746556,0,?
444,'2023/12/10 03:37:55:709',6,247.64801,82.731239,1.265826,0,?
445,'2023/12/10 03:37:55:773',6,247.531967,82.768723,1.548394,0,?
446,'2023/12/10 03:37:55:867',6,247.256699,82.847771,1.903216,0,?
447,'2023/12/10 03:37:55:899',6,247.087112,82.955109,2.116054,0,?
448,'2023/12/10 03:37:55:977',6,246.603806,83.162231,2.640669,0,?
449,'2023/12/10 03:37:56:073',6,246.471786,83.370529,2.764801,0,?
450,'2023/12/10 03:37:56:073',6,246.462463,83.624077,2.739206,0,?
451,'2023/12/10 03:37:56:183',6,246.058258,83.915428,3.077463,0,?
452,'2023/12/10 03:37:56:199',6,245.291031,84.192123,3.792925,0,?
453,'2023/12/10 03:37:56:262',6,244.5952,84.459328,4.492248,0,?
454,'2023/12/10 03:37:56:388',6,244.881668,84.709152,4.240487,0,?
455,'2023/12/10 03:37:56:388',6,245.72728,84.859077,3.441495,0,?
